triplet_id,source_query_id,doc_id,pair_type,query_type,negative_type,negative_score,negative_source_doc_id,negative_source_pair_id
l1_de_1409.0575_0000_triplet,l1_de_1409.0575_0000,1409.0575,figure+table,causal_explanation,in_doc_swap,0.1574,1409.0575,
l1_de_1409.0575_0000_triplet,l1_de_1409.0575_0000,1409.0575,figure+table,causal_explanation,same_type_hard,0.1989,1707.09457,1707.09457_xl_0027
l1_de_1409.0575_0001_triplet,l1_de_1409.0575_0001,1409.0575,figure+table,discrepancy_analysis,in_doc_swap,0.1798,1409.0575,
l1_de_1409.0575_0001_triplet,l1_de_1409.0575_0001,1409.0575,figure+table,discrepancy_analysis,same_type_hard,0.2028,2103.11320,2103.11320_xl_0142
l1_de_1801.04385_0002_triplet,l1_de_1801.04385_0002,1801.04385,figure+table,causal_explanation,in_doc_swap,0.122,1801.04385,
l1_de_1801.04385_0002_triplet,l1_de_1801.04385_0002,1801.04385,figure+table,causal_explanation,same_type_hard,0.217,1810.08683,1810.08683_xl_0082
l1_de_1801.04385_0003_triplet,l1_de_1801.04385_0003,1801.04385,figure+table,discrepancy_analysis,in_doc_swap,0.122,1801.04385,
l1_de_1801.04385_0003_triplet,l1_de_1801.04385_0003,1801.04385,figure+table,discrepancy_analysis,same_type_hard,0.2374,1707.09457,1707.09457_xl_0027
l1_de_1809.02208_0004_triplet,l1_de_1809.02208_0004,1809.02208,figure+table,causal_explanation,in_doc_swap,0.5895,1809.02208,
l1_de_1809.02208_0004_triplet,l1_de_1809.02208_0004,1809.02208,figure+table,causal_explanation,same_type_hard,0.2508,1910.10872,1910.10872_xl_0102
l1_de_1809.02208_0005_triplet,l1_de_1809.02208_0005,1809.02208,figure+table,discrepancy_analysis,in_doc_swap,0.5895,1809.02208,
l1_de_1809.02208_0005_triplet,l1_de_1809.02208_0005,1809.02208,figure+table,discrepancy_analysis,same_type_hard,0.2002,1902.03519,1902.03519_xl_0085
l1_de_1903.08136_0006_triplet,l1_de_1903.08136_0006,1903.08136,figure+table,causal_explanation,in_doc_swap,0.3053,1903.08136,
l1_de_1903.08136_0006_triplet,l1_de_1903.08136_0006,1903.08136,figure+table,causal_explanation,same_type_hard,0.2239,2005.07293,2005.07293_xl_0111
l1_de_1903.08136_0007_triplet,l1_de_1903.08136_0007,1903.08136,figure+table,discrepancy_analysis,in_doc_swap,0.1538,1903.08136,
l1_de_1903.08136_0007_triplet,l1_de_1903.08136_0007,1903.08136,figure+table,discrepancy_analysis,same_type_hard,0.1784,1804.09301,1804.09301_xl_0060
l1_de_1903.08136_0008_triplet,l1_de_1903.08136_0008,1903.08136,figure+table,causal_explanation,in_doc_swap,0.3053,1903.08136,
l1_de_1903.08136_0008_triplet,l1_de_1903.08136_0008,1903.08136,figure+table,causal_explanation,same_type_hard,0.2092,2109.03952,2109.03952_xl_0161
l1_de_1903.08136_0009_triplet,l1_de_1903.08136_0009,1903.08136,figure+table,discrepancy_analysis,in_doc_swap,0.1538,1903.08136,
l1_de_1903.08136_0009_triplet,l1_de_1903.08136_0009,1903.08136,figure+table,discrepancy_analysis,same_type_hard,0.2298,1409.0575,1409.0575_xl_0003
l1_de_1903.08136_0010_triplet,l1_de_1903.08136_0010,1903.08136,figure+table,causal_explanation,in_doc_swap,0.1538,1903.08136,
l1_de_1903.08136_0010_triplet,l1_de_1903.08136_0010,1903.08136,figure+table,causal_explanation,same_type_hard,0.2713,1409.0575,1409.0575_xl_0003
l1_de_1903.08136_0011_triplet,l1_de_1903.08136_0011,1903.08136,figure+table,discrepancy_analysis,in_doc_swap,0.1538,1903.08136,
l1_de_1903.08136_0011_triplet,l1_de_1903.08136_0011,1903.08136,figure+table,discrepancy_analysis,same_type_hard,0.262,1409.0575,1409.0575_xl_0003
l1_de_1903.10561_0012_triplet,l1_de_1903.10561_0012,1903.10561,figure+table,causal_explanation,in_doc_swap,0.1782,1903.10561,
l1_de_1903.10561_0012_triplet,l1_de_1903.10561_0012,1903.10561,figure+table,causal_explanation,same_type_hard,0.1755,2103.11320,2103.11320_xl_0134
l1_de_1903.10561_0013_triplet,l1_de_1903.10561_0013,1903.10561,figure+table,hypothesis_verification,in_doc_swap,0.12,1903.10561,
l1_de_1903.10561_0013_triplet,l1_de_1903.10561_0013,1903.10561,figure+table,hypothesis_verification,same_type_hard,0.1924,1809.02208,1809.02208_xl_0073
l1_de_1905.10674_0014_triplet,l1_de_1905.10674_0014,1905.10674,figure+table,causal_explanation,in_doc_swap,0.4333,1905.10674,
l1_de_1905.10674_0014_triplet,l1_de_1905.10674_0014,1905.10674,figure+table,causal_explanation,same_type_hard,0.2357,1810.08683,1810.08683_xl_0082
l1_de_1905.10674_0016_triplet,l1_de_1905.10674_0016,1905.10674,figure+table,causal_explanation,in_doc_swap,0.3977,1905.10674,
l1_de_1905.10674_0016_triplet,l1_de_1905.10674_0016,1905.10674,figure+table,causal_explanation,same_type_hard,0.2775,1810.08683,1810.08683_xl_0082
l1_de_1905.10674_0017_triplet,l1_de_1905.10674_0017,1905.10674,figure+table,discrepancy_analysis,in_doc_swap,0.3977,1905.10674,
